x,y,pet
410570,5477422,null
410571,5477422,null
410572,5477422,null
410573,5477422,null
410574,5477422,null
410575,5477422,null
410576,5477422,null
410577,5477422,null
410578,5477422,null
410579,5477422,null
410580,5477422,null
410581,5477422,null
410582,5477422,null
410583,5477422,null
410584,5477422,null
410585,5477422,null
410586,5477422,null
410587,5477422,null
410588,5477422,null
410589,5477422,null
410590,5477422,null
410591,5477422,null
410592,5477422,null
410593,5477422,null
410594,5477422,null
410595,5477422,null
410596,5477422,null
410597,5477422,null
410598,5477422,null
410599,5477422,null
410600,5477422,null
410601,5477422,null
410602,5477422,null
410603,5477422,null
410604,5477422,null
410605,5477422,43.31
410606,5477422,43.31
410607,5477422,43.31
410608,5477422,43.31
410609,5477422,43.31
410610,5477422,43.31
410611,5477422,43.31
410612,5477422,43.31
410613,5477422,43.31
410614,5477422,43.31
410615,5477422,null
410616,5477422,null
410617,5477422,null
410618,5477422,null
410619,5477422,null
410620,5477422,null
410621,5477422,null
410622,5477422,null
410623,5477422,null
410624,5477422,null
410625,5477422,null
410626,5477422,null
410627,5477422,null
410628,5477422,null
410629,5477422,null
410630,5477422,null
410631,5477422,null
410632,5477422,null
410633,5477422,null
410634,5477422,null
410635,5477422,null
410636,5477422,null
410637,5477422,null
410638,5477422,null
410639,5477422,null
410640,5477422,null
410641,5477422,null
410642,5477422,null
410643,5477422,null
410644,5477422,null
410645,5477422,null
410646,5477422,null
410647,5477422,null
410648,5477422,null
410649,5477422,null
410650,5477422,null
410651,5477422,null
410652,5477422,null
410653,5477422,null
410654,5477422,null
410655,5477422,null
410656,5477422,null
410657,5477422,null
410658,5477422,null
410659,5477422,null
410660,5477422,null
410661,5477422,null
410662,5477422,null
410663,5477422,null
410664,5477422,null
410665,5477422,42.98
410666,5477422,42.98
410667,5477422,42.98
410668,5477422,42.98
410669,5477422,42.98
410670,5477422,42.98
410671,5477422,42.98
410672,5477422,42.98
410673,5477422,42.98
410674,5477422,42.98
410675,5477422,null
410676,5477422,null
410677,5477422,null
410678,5477422,null
410679,5477422,null
410680,5477422,null
410681,5477422,null
410682,5477422,null
410683,5477422,null
410684,5477422,null
410685,5477422,42.76
410686,5477422,42.76
410687,5477422,42.76
410688,5477422,42.76
410689,5477422,42.76
410690,5477422,42.76
410691,5477422,42.76
410692,5477422,42.76
410693,5477422,42.76
410694,5477422,42.76
410695,5477422,42.78
410696,5477422,42.83
