x,y,pet
461195,5481470,null
461196,5481470,null
461197,5481470,null
461198,5481470,null
461199,5481470,null
461200,5481470,null
461201,5481470,null
461202,5481470,null
461203,5481470,null
461204,5481470,null
461205,5481470,null
461206,5481470,null
461207,5481470,36.53
461208,5481470,36.53
461209,5481470,36.53
461210,5481470,36.53
461211,5481470,36.53
461212,5481470,36.53
461213,5481470,38.12
461214,5481470,39.70
461215,5481470,41.29
461216,5481470,42.87
461217,5481470,44.46
461218,5481470,44.46
461219,5481470,44.46
461220,5481470,44.46
461221,5481470,44.46
461222,5481470,null
461223,5481470,null
461224,5481470,null
461225,5481470,null
461226,5481470,null
461227,5481470,null
461228,5481470,null
461229,5481470,null
461230,5481470,null
461231,5481470,null
461232,5481470,null
461233,5481470,null
461234,5481470,null
461235,5481470,null
461236,5481470,null
461237,5481470,null
461238,5481470,null
461239,5481470,null
461240,5481470,null
461241,5481470,null
461242,5481470,null
461243,5481470,null
461244,5481470,null
461245,5481470,null
461246,5481470,null
461247,5481470,null
461248,5481470,null
461249,5481470,null
461250,5481470,null
461251,5481470,null
461252,5481470,null
461253,5481470,null
461254,5481470,null
461255,5481470,null
461256,5481470,null
461257,5481470,null
461258,5481470,null
461259,5481470,null
461260,5481470,null
461261,5481470,null
461262,5481470,37.48
461263,5481470,37.48
461264,5481470,37.48
461265,5481470,37.48
461266,5481470,37.48
461267,5481470,37.48
461268,5481470,37.40
461269,5481470,37.32
461270,5481470,37.24
461271,5481470,37.16
461272,5481470,37.08
461273,5481470,37.04
461274,5481470,37.01
461275,5481470,36.97
461276,5481470,36.94
461277,5481470,36.90
461278,5481470,36.88
461279,5481470,36.86
461280,5481470,36.84
461281,5481470,36.82
461282,5481470,null
461283,5481470,null
461284,5481470,null
461285,5481470,null
461286,5481470,null
461287,5481470,null
461288,5481470,null
461289,5481470,null
461290,5481470,null
461291,5481470,null
461292,5481470,44.77
461293,5481470,44.77
461294,5481470,44.77
461295,5481470,44.77
461296,5481470,44.77
461297,5481470,44.77
461298,5481470,44.71
461299,5481470,44.66
461300,5481470,44.61
461301,5481470,44.56
461302,5481470,44.50
461303,5481470,44.50
461304,5481470,44.50
461305,5481470,44.50
461306,5481470,44.50
461307,5481470,null
461308,5481470,null
461309,5481470,null
461310,5481470,null
461311,5481470,null
461312,5481470,null
461313,5481470,null
461314,5481470,null
461315,5481470,null
461316,5481470,null
461317,5481470,37.04
461318,5481470,37.04
461319,5481470,37.04
461320,5481470,37.04
461321,5481470,37.04
461322,5481470,37.04
461323,5481470,37.02
461324,5481470,36.99
461325,5481470,36.97
461326,5481470,36.94
461327,5481470,36.92
461328,5481470,38.52
461329,5481470,40.13
461330,5481470,41.73
461331,5481470,43.33
461332,5481470,null
461333,5481470,null
461334,5481470,null
461335,5481470,null
461336,5481470,null
461337,5481470,null
461338,5481470,null
461339,5481470,null
461340,5481470,null
461341,5481470,null
461342,5481470,null
461343,5481470,null
461344,5481470,null
461345,5481470,null
461346,5481470,null
461347,5481470,null
461348,5481470,null
461349,5481470,null
461350,5481470,null
461351,5481470,null
461352,5481470,null
461353,5481470,null
461354,5481470,null
461355,5481470,null
461356,5481470,null
461357,5481470,null
461358,5481470,null
461359,5481470,null
461360,5481470,null
461361,5481470,null
461362,5481470,null
461363,5481470,null
461364,5481470,null
461365,5481470,null
461366,5481470,null
461367,5481470,34.57
461368,5481470,34.57
461369,5481470,34.57
461370,5481470,34.57
461371,5481470,34.57
461372,5481470,34.57
461373,5481470,35.70
461374,5481470,36.83
461375,5481470,37.97
461376,5481470,39.10
461377,5481470,40.23
461378,5481470,38.74
461379,5481470,37.25
461380,5481470,35.76
461381,5481470,34.27
461382,5481470,32.78
461383,5481470,32.89
461384,5481470,33.00
461385,5481470,33.12
461386,5481470,33.23
461387,5481470,33.34
461388,5481470,33.34
461389,5481470,33.34
461390,5481470,33.34
461391,5481470,33.34
461392,5481470,null
461393,5481470,null
461394,5481470,null
461395,5481470,null
461396,5481470,null
461397,5481470,null
461398,5481470,null
461399,5481470,null
461400,5481470,null
461401,5481470,null
461402,5481470,null
461403,5481470,null
461404,5481470,null
461405,5481470,null
461406,5481470,null
461407,5481470,null
461408,5481470,null
461409,5481470,null
461410,5481470,null
461411,5481470,null
461412,5481470,null
461413,5481470,null
461414,5481470,null
461415,5481470,null
461416,5481470,null
461417,5481470,null
461418,5481470,null
461419,5481470,null
461420,5481470,null
461421,5481470,null
461422,5481470,null
461423,5481470,null
461424,5481470,null
461425,5481470,null
461426,5481470,null
461427,5481470,null
461428,5481470,null
461429,5481470,null
461430,5481470,null
461431,5481470,null
461432,5481470,null
461433,5481470,null
461434,5481470,null
461435,5481470,null
461436,5481470,null
461437,5481470,null
461438,5481470,null
461439,5481470,null
461440,5481470,null
461441,5481470,null
461442,5481470,null
461443,5481470,null
461444,5481470,null
461445,5481470,null
461446,5481470,null
461447,5481470,null
461448,5481470,null
461449,5481470,null
461450,5481470,null
461451,5481470,null
461452,5481470,45.11
461453,5481470,45.11
461454,5481470,45.11
461455,5481470,45.11
461456,5481470,45.11
461457,5481470,45.11
461458,5481470,45.18
461459,5481470,45.25
461460,5481470,45.32
461461,5481470,45.39
461462,5481470,45.47
461463,5481470,45.47
461464,5481470,45.47
461465,5481470,45.47
461466,5481470,45.47
461467,5481470,null
461468,5481470,null
461469,5481470,null
461470,5481470,null
461471,5481470,null
461472,5481470,36.81
461473,5481470,36.81
461474,5481470,36.81
461475,5481470,36.81
461476,5481470,36.81
461477,5481470,36.81
461478,5481470,36.74
461479,5481470,36.67
461480,5481470,36.60
461481,5481470,36.53
461482,5481470,36.46
461483,5481470,36.42
461484,5481470,36.38
461485,5481470,36.33
461486,5481470,36.29
461487,5481470,36.25
461488,5481470,36.24
461489,5481470,36.23
461490,5481470,36.22
461491,5481470,36.21
461492,5481470,null
461493,5481470,null
461494,5481470,null
461495,5481470,null
461496,5481470,null
461497,5481470,null
461498,5481470,null
461499,5481470,null
461195,5481471,null
461196,5481471,null
461197,5481471,null
461198,5481471,null
461199,5481471,null
461200,5481471,null
461201,5481471,null
461202,5481471,null
461203,5481471,null
461204,5481471,null
461205,5481471,null
461206,5481471,null
461207,5481471,36.53
461208,5481471,36.53
461209,5481471,36.53
461210,5481471,36.53
461211,5481471,36.53
461212,5481471,36.53
461213,5481471,38.12
461214,5481471,39.70
461215,5481471,41.29
461216,5481471,42.87
461217,5481471,44.46
461218,5481471,44.46
461219,5481471,44.46
461220,5481471,44.46
461221,5481471,44.46
461222,5481471,null
461223,5481471,null
461224,5481471,null
461225,5481471,null
461226,5481471,null
461227,5481471,null
461228,5481471,null
461229,5481471,null
461230,5481471,null
461231,5481471,null
461232,5481471,null
461233,5481471,null
461234,5481471,null
461235,5481471,null
461236,5481471,null
461237,5481471,null
461238,5481471,null
461239,5481471,null
461240,5481471,null
461241,5481471,null
461242,5481471,null
461243,5481471,null
461244,5481471,null
461245,5481471,null
461246,5481471,null
461247,5481471,null
461248,5481471,null
461249,5481471,null
461250,5481471,null
461251,5481471,null
461252,5481471,null
461253,5481471,null
461254,5481471,null
461255,5481471,null
461256,5481471,null
461257,5481471,null
461258,5481471,null
461259,5481471,null
461260,5481471,null
461261,5481471,null
461262,5481471,37.48
461263,5481471,37.48
461264,5481471,37.48
461265,5481471,37.48
461266,5481471,37.48
461267,5481471,37.48
461268,5481471,37.40
461269,5481471,37.32
461270,5481471,37.24
461271,5481471,37.16
461272,5481471,37.08
461273,5481471,37.04
461274,5481471,37.01
461275,5481471,36.97
461276,5481471,36.94
461277,5481471,36.90
461278,5481471,36.88
461279,5481471,36.86
461280,5481471,36.84
461281,5481471,36.82
461282,5481471,null
461283,5481471,null
461284,5481471,null
461285,5481471,null
461286,5481471,null
461287,5481471,null
461288,5481471,null
461289,5481471,null
461290,5481471,null
461291,5481471,null
461292,5481471,44.77
461293,5481471,44.77
461294,5481471,44.77
461295,5481471,44.77
461296,5481471,44.77
461297,5481471,44.77
461298,5481471,44.71
461299,5481471,44.66
461300,5481471,44.61
461301,5481471,44.56
461302,5481471,44.50
461303,5481471,44.50
461304,5481471,44.50
461305,5481471,44.50
461306,5481471,44.50
461307,5481471,null
461308,5481471,null
461309,5481471,null
461310,5481471,null
461311,5481471,null
461312,5481471,null
461313,5481471,null
461314,5481471,null
461315,5481471,null
461316,5481471,null
461317,5481471,37.04
461318,5481471,37.04
461319,5481471,37.04
461320,5481471,37.04
461321,5481471,37.04
461322,5481471,37.04
461323,5481471,37.02
461324,5481471,36.99
461325,5481471,36.97
461326,5481471,36.94
461327,5481471,36.92
461328,5481471,38.52
461329,5481471,40.13
461330,5481471,41.73
461331,5481471,43.33
461332,5481471,null
461333,5481471,null
461334,5481471,null
461335,5481471,null
461336,5481471,null
461337,5481471,null
461338,5481471,null
461339,5481471,null
461340,5481471,null
461341,5481471,null
461342,5481471,null
461343,5481471,null
461344,5481471,null
461345,5481471,null
461346,5481471,null
